"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.490000000E2,-5.360000134E-1,9.570000172E-1,1.133899975E1
5.500000000E2,-2.290000021E-1,3.059999943E-1,1.152999973E1
5.510000000E2,-3.799999878E-2,8.420000076E-1,8.465999603E0
5.520000000E2,1.909999996E-1,1.149000049E0,6.129000187E0
5.530000000E2,-2.290000021E-1,-4.979999959E-1,8.963999748E0
5.540000000E2,-1.072000027E0,3.799999878E-2,8.388999939E0
5.550000000E2,-1.529999971E-1,-6.510000229E-1,1.061100006E1
5.560000000E2,2.680000067E-1,1.799999952E0,1.114700031E1
5.570000000E2,1.529999971E-1,1.991999984E0,9.232000351E0
5.580000000E2,-7.599999756E-2,1.378999949E0,8.043999672E0
5.590000000E2,-3.059999943E-1,1.149000049E0,7.737999916E0
5.600000000E2,-2.290000021E-1,-4.979999959E-1,1.080300045E1
5.610000000E2,4.589999914E-1,-5.360000134E-1,1.130099964E1
5.620000000E2,-2.680000067E-1,9.959999919E-1,1.248799992E1
5.630000000E2,-8.040000200E-1,7.659999728E-1,1.107100010E1
5.640000000E2,-1.140000001E-1,4.979999959E-1,8.848999977E0
5.650000000E2,-2.290000021E-1,9.959999919E-1,6.703999996E0
5.660000000E2,3.829999864E-1,-1.608000040E0,9.423000336E0
5.670000000E2,-7.269999981E-1,-1.646999955E0,1.041899967E1
5.680000000E2,-6.890000105E-1,-2.680000067E-1,1.302400017E1
5.690000000E2,7.659999728E-1,9.959999919E-1,1.030500031E1
5.700100000E2,6.510000229E-1,5.740000010E-1,9.270000458E0
5.710100000E2,-3.059999943E-1,7.269999981E-1,8.619000435E0
5.720100000E2,2.290000021E-1,-1.909999996E-1,9.692000389E0
5.730100000E2,2.680000067E-1,5.360000134E-1,1.049600029E1
5.740100000E2,-1.909999996E-1,7.269999981E-1,1.187500000E1
5.750100000E2,-6.510000229E-1,2.490000010E0,8.887000084E0
5.760100000E2,-1.529999971E-1,1.149000049E0,8.696000099E0
5.770100000E2,0.000000000E0,8.420000076E-1,8.083000183E0
5.780100000E2,-5.360000134E-1,1.140000001E-1,8.734000206E0
5.790100000E2,-6.890000105E-1,7.599999756E-2,1.068799973E1
5.800100000E2,-3.799999878E-2,1.952999949E0,1.168400002E1
5.810100000E2,1.529999971E-1,1.264000058E0,9.194000244E0
5.820100000E2,3.799999878E-2,9.570000172E-1,7.853000164E0
5.830100000E2,-3.829999864E-1,-6.890000105E-1,9.194000244E0
5.840100000E2,1.034000039E0,3.799999878E-2,9.270000458E0
5.850100000E2,1.149000049E0,-1.608000040E0,1.248799992E1
5.860100000E2,-5.740000010E-1,6.510000229E-1,1.084099960E1
5.870100000E2,-1.909999996E-1,7.269999981E-1,1.038099957E1
5.880100000E2,4.210000038E-1,1.034000039E0,7.585000038E0
5.890100000E2,0.000000000E0,-1.140000001E-1,8.925000191E0
5.900100000E2,-6.119999886E-1,3.799999878E-2,8.005999565E0
5.910100000E2,-4.979999959E-1,-1.529999971E-1,1.149199963E1
5.920100000E2,3.440000117E-1,8.040000200E-1,1.152999973E1
5.930100000E2,-2.290000021E-1,1.187000036E0,1.041899967E1
5.940100000E2,-3.799999878E-2,8.809999824E-1,8.772000313E0
5.950100000E2,0.000000000E0,4.210000038E-1,8.350999832E0
