"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.803089596E2,-1.193222833E1,-7.707634000E1,8.896400758E1,1.026870847E0,8.102999878E1,2.799999952E0,0.000000000E0
1.813169769E2,-1.193223000E1,-7.707633167E1,8.906392281E1,9.702513814E-1,7.925000000E1,2.799999952E0,0.000000000E0
1.823115947E2,-1.193223500E1,-7.707632500E1,8.916387240E1,8.117169738E-1,8.865000153E1,2.700000048E0,0.000000000E0
1.833128826E2,-1.193223667E1,-7.707632000E1,8.916382470E1,7.401705384E-1,9.061000061E1,2.700000048E0,0.000000000E0
1.843172539E2,-1.193223667E1,-7.707631000E1,8.926371348E1,7.962752581E-1,7.926999664E1,2.700000048E0,0.000000000E0
1.853111736E2,-1.193223667E1,-7.707630500E1,8.916365787E1,6.480352879E-1,7.579000092E1,2.700000048E0,0.000000000E0
1.863165282E2,-1.193223500E1,-7.707629833E1,8.916357581E1,6.737713814E-1,7.412000275E1,2.700000048E0,0.000000000E0
1.873089340E2,-1.193223333E1,-7.707630000E1,8.916358644E1,4.436905682E-1,4.661999893E1,2.599999905E0,0.000000000E0
1.883088978E2,-1.193222833E1,-7.707628333E1,8.926337733E1,5.749447346E-1,4.768999863E1,2.599999905E0,0.000000000E0
1.893106020E2,-1.193222167E1,-7.707627167E1,8.936321592E1,6.619327664E-1,4.515999985E1,2.500000000E0,0.000000000E0
1.903089022E2,-1.193221500E1,-7.707626500E1,8.936311013E1,6.377408504E-1,3.213999939E1,2.500000000E0,0.000000000E0
1.913091226E2,-1.193220333E1,-7.707626000E1,8.946299913E1,8.055402637E-1,2.264999962E1,2.500000000E0,0.000000000E0
1.923088402E2,-1.193219667E1,-7.707625500E1,8.946291187E1,7.880397439E-1,1.527999973E1,2.500000000E0,0.000000000E0
1.933048051E2,-1.193218667E1,-7.707625167E1,8.956282732E1,8.467180729E-1,1.430000019E1,2.500000000E0,0.000000000E0
1.943087892E2,-1.193217833E1,-7.707624833E1,8.956275069E1,8.528947234E-1,1.368000031E1,2.500000000E0,0.000000000E0
1.953164716E2,-1.193217167E1,-7.707624667E1,8.956270050E1,8.307616711E-1,9.909999847E0,2.500000000E0,0.000000000E0
1.963092813E2,-1.193216333E1,-7.707624667E1,8.956266094E1,8.204672337E-1,3.560599976E2,2.500000000E0,0.000000000E0
1.973165419E2,-1.193215500E1,-7.707624833E1,8.966263991E1,8.462033272E-1,3.542099915E2,2.500000000E0,0.000000000E0
1.983112908E2,-1.193214833E1,-7.707624500E1,8.956257119E1,8.513505459E-1,2.450000048E0,2.500000000E0,0.000000000E0
1.993176382E2,-1.193214000E1,-7.707624333E1,8.956251309E1,8.755425215E-1,2.769999981E0,2.500000000E0,0.000000000E0
2.003114247E2,-1.193213000E1,-7.707624333E1,8.966246562E1,9.301030636E-1,2.930000067E0,2.500000000E0,0.000000000E0
2.013147244E2,-1.193212000E1,-7.707624500E1,8.966243668E1,9.923844337E-1,3.593200073E2,2.599999905E0,0.000000000E0
2.023066770E2,-1.193211333E1,-7.707624333E1,8.966238649E1,9.517213702E-1,5.000000075E-2,2.599999905E0,0.000000000E0
2.033079410E2,-1.193210333E1,-7.707624167E1,8.976232048E1,9.856930375E-1,1.679999948E0,2.599999905E0,0.000000000E0
2.043090639E2,-1.193209667E1,-7.707623833E1,8.976225176E1,9.424563646E-1,5.760000229E0,2.599999905E0,0.000000000E0
2.053175524E2,-1.193209000E1,-7.707624333E1,8.976227572E1,9.187791944E-1,3.556099854E2,2.700000048E0,0.000000000E0
2.063120777E2,-1.193208000E1,-7.707624500E1,8.976224678E1,9.630452991E-1,3.538999939E2,2.700000048E0,0.000000000E0
2.073105132E2,-1.193207000E1,-7.707624667E1,8.976221785E1,9.908402562E-1,3.531499939E2,2.700000048E0,0.000000000E0
2.083088781E2,-1.193205833E1,-7.707624833E1,8.976218100E1,1.043856621E0,3.532699890E2,2.700000048E0,0.000000000E0
2.093090341E2,-1.193205333E1,-7.707624833E1,8.986215726E1,9.784869552E-1,3.512600098E2,2.700000048E0,0.000000000E0
2.103069965E2,-1.193204500E1,-7.707625167E1,8.976215477E1,9.702513814E-1,3.487900085E2,2.700000048E0,0.000000000E0
2.113077148E2,-1.193204000E1,-7.707625500E1,8.976216811E1,8.667922020E-1,3.455000000E2,2.700000048E0,0.000000000E0
2.123112250E2,-1.193203000E1,-7.707625500E1,8.976212063E1,8.781161308E-1,3.509200134E2,2.700000048E0,0.000000000E0
2.133109006E2,-1.193202000E1,-7.707625833E1,8.966211023E1,9.033374786E-1,3.466099854E2,2.700000048E0,0.000000000E0
2.143089169E2,-1.193200833E1,-7.707625667E1,8.956203631E1,9.944433570E-1,3.557500000E2,2.700000048E0,0.000000000E0
